base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Private Non-Financial Corporations,Q2,9555601.403,1253671.7912885246,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Public Financial Corporations,Q2,780342.4093,1253671.7912885246,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Private Financial Corporations,Q2,1059339.323,1253671.7912885246,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,2656799.96,1253671.7912885246,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Households Including NPISH,Q2,13250480.02,1253671.7912885246,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Total Gross Value Added,Q2,28854467.43,1253671.7912885246,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,General Government,Q2,3487514.539,3113280.932,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,General Government,Q2,1387062.691,1278634.34,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,General Government,Q2,408682.0268,414487.8317,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,General Government,Q2,306423.5479,279129.3153,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,5589682.805,5085532.419,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Mining and Quarrying,Air Transport,General Government,Q2,572560.0079,578567.8609,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",General Government,Q2,496100.8009,491352.2293,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",General Government,Q2,433858.8939,411703.0036,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Metal Products,General Government,Q2,580213.6557,765514.6673,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Machinery and Equipment,General Government,Q2,1098354.375,974222.3734,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Other Manufactured Goods,General Government,Q2,1570704.509,1646444.901,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Air Transport,General Government,Q2,4179232.235,4289237.175,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,805618.7535,671525.2616,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Construction,Air Transport,General Government,Q2,2449208.244,2487429.557,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,3997995.239,3831990.765,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,General Government,Q2,2075945.818,1984250.994,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,General Government,Q2,375488.4055,333622.5041,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Air Transport,General Government,Q2,2451434.223,2317873.499,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,General Government,Q2,166899.5497,156355.3988,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,General Government,Q2,675305.4958,659337.8662,₹ Crore
