base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,1387062.691,1278634.34,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,408682.0268,414487.8317,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,306423.5479,279129.3153,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,5589682.805,5085532.419,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Mining and Quarrying,,,,572560.0079,578567.8609,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,496100.8009,491352.2293,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,433858.8939,411703.0036,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Metal Products,,,580213.6557,765514.6673,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Machinery and Equipment,,,1098354.375,974222.3734,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Other Manufactured Goods,,,1570704.509,1646444.901,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,,,,4179232.235,4289237.175,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,805618.7535,671525.2616,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Construction,,,,2449208.244,2487429.557,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,3997995.239,3831990.765,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,2075945.818,1984250.994,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,375488.4055,333622.5041,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",,,,2451434.223,2317873.499,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,166899.5497,156355.3988,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,675305.4958,659337.8662,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,24067.40406,21288.30933,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,42219.20591,27548.55268,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,165550.6058,148821.341,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,43732.32476,33187.4001,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,428786.4293,467578.8275,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,1546561.015,1514117.696,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Financial, Real Estate & Professional Services",,,,7549123.743,6983732.923,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Financial Services,,,,1839681.732,1738669.732,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",,,,5709442.011,5245063.19,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Public Administration, Defence & Other Services",,,,3711046.401,3408478.769,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Public Administration and Defence,,,,1629400.23,1514461.314,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Other Services,,,,2081646.171,1894017.455,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Total Gross Value Added,,,,28854467.43,27336495.16,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,4809250.687,2274933.328,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,,,,617395.7347,350869.7298,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Manufacturing,,,,3796269.566,2788055.805,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,809604.8836,372918.7662,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Construction,,,,2221363.235,1375800.431,₹ Crore
